expNum,age,gender,ingroupNorm,bothShown,ingroupFirst,response,rating,understandingCheckResponse,understandingCheckOrder,responseTime,understandingCheckTime,elapsedTime,utcTime,RepublicanRating,DemocraticRating,topIssue,topIssueRating,identityIngroupResponse,identityOutgroupResponse,ingroupAgree,outgroupDisagree
Exp 1,62,female,0,1,0,3,0,1,2341,43.291,23.138,216.206,"Sun, 25 Mar 2018 23:49:04 GMT",NA,NA,0,5,6,2,1,1
Exp 1,35,female,0,1,0,1,0,1,1342,33.389,39.109,193.038,"Mon, 26 Mar 2018 01:48:35 GMT",NA,NA,0,5,6,3,1,1
Exp 1,38,female,0,0,0,2,2,1,1423,26.167,18.723,131.49,"Sun, 25 Mar 2018 23:24:57 GMT",NA,NA,3,2,6,2,1,1
Exp 1,27,female,0,1,1,4,-1,1,2314,43.229,25.533,271.341,"Sun, 25 Mar 2018 23:29:06 GMT",NA,NA,0,10,5,2,1,1
Exp 1,38,female,1,1,1,5,2,1,4321,30.257,34.107,160.863,"Sun, 25 Mar 2018 23:26:12 GMT",NA,NA,5,7,6,2,1,1
Exp 1,29,female,0,0,0,5,-1,1,4231,23.034,24.486,123.765,"Mon, 26 Mar 2018 00:30:55 GMT",NA,NA,0,0,4,1,0,1
Exp 1,50,female,1,1,1,6,1,1,1324,26.159,45.783,177.232,"Sun, 25 Mar 2018 23:26:10 GMT",NA,NA,1,8,7,1,1,1
Exp 1,51,female,1,0,0,5,2,3,3214,17.283,47.844,164.382,"Sun, 25 Mar 2018 23:54:12 GMT",NA,NA,0,0,7,1,1,1
Exp 1,23,male,0,0,0,5,1,1,1432,24.744,20.33,124.621,"Sun, 25 Mar 2018 23:42:02 GMT",NA,NA,2,0,3,1,0,1
Exp 1,32,male,0,1,1,5,1,1,4132,24.497,12.106,97.785,"Sun, 25 Mar 2018 23:39:40 GMT",NA,NA,3,9,6,3,1,1
Exp 1,39,female,0,0,0,4,-1,1,1243,31.488,27.358,184.609,"Sun, 25 Mar 2018 23:28:12 GMT",NA,NA,3,0,7,1,1,1
Exp 1,32,male,1,0,0,2,0,3,3241,18.01,56.964,131.837,"Sun, 25 Mar 2018 23:49:08 GMT",NA,NA,0,8,4,4,0,0
Exp 1,39,female,1,0,0,5,1,1,4213,17.848,10.888,202.102,"Mon, 26 Mar 2018 00:10:19 GMT",NA,NA,0,2,7,2,1,1
Exp 1,32,female,0,0,0,2,3,1,4123,15.476,10.958,65.774,"Mon, 26 Mar 2018 00:07:08 GMT",NA,NA,1,9,7,1,1,1
Exp 1,69,female,0,0,0,2,2,1,2431,39.338,18.278,189.47,"Sun, 25 Mar 2018 23:30:35 GMT",NA,NA,3,5,1,7,0,0
Exp 1,31,female,0,1,0,1,-1,1,1342,24.784,11.759,100.633,"Sun, 25 Mar 2018 23:43:16 GMT",NA,NA,5,8,7,3,1,1
Exp 1,34,female,0,1,0,3,0,1,4231,23.916,13.548,101.568,"Sun, 25 Mar 2018 23:53:35 GMT",NA,NA,1,10,6,2,1,1
Exp 1,49,female,1,0,0,3,2,1,3124,15.067,11.611,112.957,"Sun, 25 Mar 2018 23:49:30 GMT",NA,NA,1,9,7,1,1,1
